category_id,category_code,count_purchase_category,sales_category,best_selling_product_id,count_purchase_product,sales_product,category_sales_per
2053013556344914381,kids.fmcg.diapers,495,7989.24,16200329,28,352.95,0.044178169638163330
2053013566033757167,appliances.ironing_board,493,25567.93,19300039,96,2942.16,0.115072280000766585
2232732107489149609,apparel.shorts,488,28856.83,13000002,91,5278.56,0.182922379207972601
2053013554189041997,computers.components.memory,483,29928.01,6600082,29,968.48,0.032360320649451801
2232732104066597479,furniture.kitchen.table,478,12991.04,9100636,32,971.52,0.074783851023474641
2053013566209917945,accessories.bag,475,33610.09,28400759,19,639.22,0.019018693493531258
2053013552570040549,electronics.video.projector,475,145713.97,14700096,35,8107.40,0.055639140159313482
2232732101919113783,furniture.bedroom.blanket,474,332352.08,2201033,87,55932.15,0.168291860848290764
2053013553090134275,kids.toys,473,16966.56,8902633,51,1830.81,0.107906965230429739
2053013552863641845,not specified,471,38376.15,7300464,72,4128.36,0.107576189899195203
2053013555095011711,appliances.kitchen.coffee_machine,468,127584.77,4400189,54,977.62,0.007662513323494646
2053013562778977083,not specified,468,6799.49,26010323,65,585.65,0.086131459859489462
2232732071460078545,kids.toys,465,103447.22,1500258,108,27904.50,0.269746253210091098
2053013558945383017,accessories.bag,455,13287.06,18300021,33,261.91,0.019711659313648015
2232732082474320004,not specified,450,3812.90,26016675,85,601.80,0.157832620839780744
2116907525176557699,sport.bicycle,442,110417.19,12202301,29,5909.32,0.053518116155645692
2053013552913973497,computers.peripherals.keyboard,440,17420.41,9200489,23,402.19,0.023087286694170803
2053013561554240247,electronics.clocks,437,60566.07,10600492,18,2208.22,0.036459687742658555
2053013561554240247,not specified,437,60566.07,10600492,18,2208.22,0.036459687742658555
2053013553165631753,not specified,435,23631.53,7202379,30,848.70,0.035913882850581405
2053013552351936731,appliances.environment.air_conditioner,434,230847.57,4201541,119,110247.00,0.477574877656282022
2053013564641248165,not specified,430,211437.41,26800030,35,14395.85,0.068085633474227669
2053013564641248165,not specified,430,211437.41,26800072,35,8675.80,0.041032473865433747
2053013564641248165,construction.tools.screw,430,211437.41,26800072,35,8675.80,0.041032473865433747
2232732099981345295,appliances.personal.massager,424,89748.24,1700652,42,4258.71,0.047451738329353311
2232732108780995272,sport.trainer,424,73104.77,16600209,58,6605.48,0.090356347472264806
2232732084546306225,furniture.living_room.chair,418,19425.79,7203226,32,1403.06,0.072226663626035286
2053013563424899933,not specified,418,107680.40,26300626,25,8687.50,0.080678563601175330
2232732093941547400,furniture.bedroom.blanket,415,29978.41,5500207,98,2495.54,0.083244575012483984
2232732097775141341,apparel.shoes.keds,415,34107.08,7900440,54,2354.59,0.069035226703663873
2053013562812531517,not specified,411,3364.80,26018219,28,340.83,0.101292796005706134
2232732100769874463,appliances.personal.massager,410,43366.72,2400648,25,1224.66,0.028239627068867556
2232732095074009504,construction.tools.welding,410,69931.49,30000048,54,6362.87,0.090987193323065189
2053013559901684381,furniture.kitchen.chair,409,18705.27,16700656,21,648.69,0.034679531490323315
2053013557603205653,electronics.audio.music_tools.piano,409,65151.89,14300017,79,6897.48,0.105867688565903460
2232732101164139047,appliances.environment.vacuum,404,73706.68,12600003,80,4853.29,0.065845999304269301
2053013560144954031,not specified,401,89646.21,15800006,55,6135.63,0.068442714979250099
2232732086257582287,electronics.tablet,399,47006.35,17800473,78,6055.56,0.128824297142832830
2053013561956893455,not specified,394,12812.17,23301093,10,360.40,0.028129504994079848
2232732099519971845,construction.tools.welding,393,57001.24,4000169,65,6665.36,0.116933596532285964
2053013562913194819,sport.ski,386,32194.92,5600355,93,2419.38,0.075147880473068422
2053013562913194819,not specified,386,32194.92,5600355,93,2419.38,0.075147880473068422
2232732099670966793,appliances.personal.massager,383,28840.19,7300464,67,3795.74,0.131612863854225648
2053013561159975647,not specified,382,25319.48,13000002,102,6069.35,0.239710689161072818
2232732102749585991,appliances.kitchen.hob,378,82275.09,4502739,17,3369.06,0.040948724577511857
