product_id,brand,total_sales,avg,range,stddev,coefficient_var
1004870,samsung,1094472.25,272.278866,13.50,3.0819538162667817,0.011319107727835115
1004237,apple,1088091.20,1103.450230,216.71,44.49033205605649,0.04031929202285498
1004659,samsung,1084329.48,730.437711,118.14,19.21820918316928,0.02631053804281099
1005177,samsung,1054654.72,849.135000,0.05,0.03535533905929522,4.163688819715972E-5
1002524,apple,1035214.63,577.938462,92.67,30.156412763610156,0.0521792798825875
1004873,samsung,1018823.61,335.294487,77.28,8.98128395174718,0.026786255962947522
1004246,apple,998274.34,749.245882,122.14,20.83446864854513,0.02780725146320541
1005118,apple,979906.81,918.090580,18.74,6.752896303255629,0.007355370428978401
1005100,samsung,961386.58,132.998519,10.05,3.6370231490111573,0.02734634322515394
1005104,apple,957599.34,982.347284,77.43,18.878613827049502,0.01921786127425126
1005118,apple,899165.51,978.586842,90.00,21.17806010697717,0.02164147237428027
1005106,apple,889879.77,1414.941618,49.43,16.716153918344183,0.011814023777159252
1004250,apple,845547.16,800.143704,131.80,28.655369727012097,0.03581277910925373
1005121,apple,787020.96,964.136552,89.23,22.524335203135827,0.02336218366206681
1005174,unknown,773367.00,643.230000,0.00,"",""
1005174,samsung,773367.00,626.156667,51.74,29.79733097667195,0.047587660640003936
1005129,apple,754016.64,1286.456986,48.58,16.04149642203443,0.012469516351193753
1004227,apple,744169.98,1010.399767,179.93,28.886056720958933,0.028588740481131695
1005186,unknown,735242.04,771.940000,0.00,"",""
1005186,samsung,735242.04,754.693333,51.48,29.647221342536188,0.039283799188585364
1003316,apple,720767.53,946.444524,154.02,31.48094686665844,0.03326232660062222
1004258,apple,714812.03,773.180909,77.53,24.257214323851084,0.03137327117300963
1801690,samsung,670157.04,390.280000,43.53,16.83589387966294,0.04313798780276453
1005130,apple,637892.27,1550.007273,487.22,76.71727526125376,0.04949478405528344
1005104,apple,628449.28,913.166667,47.07,12.455601110328105,0.013640008511532874
1005100,samsung,627007.95,142.251091,25.97,7.06103132954437,0.04963780087665106
1005112,apple,617873.02,966.629000,89.84,27.98655240121802,0.028952734090553895
1005212,samsung,614371.04,168.000556,14.62,5.398343744146785,0.03213289213249262
1004227,apple,610635.29,942.989231,80.05,29.19291850818688,0.03095784930356949
1003310,apple,608725.62,728.250926,127.43,34.13169982712184,0.046868048647179944
1005160,xiaomi,607526.81,185.421912,17.24,4.156836935162498,0.022418261630062893
1005160,xiaomi,601521.03,211.626714,53.67,12.161557693375089,0.057467025138305976
1005144,apple,588998.20,1650.158475,81.39,21.30705046122294,0.012912123765096525
1005119,apple,582626.76,985.727069,32.23,11.689405611023163,0.011858663496866153
1005119,apple,582384.99,1035.256216,102.68,35.931830804161756,0.0347081526764402
1004785,huawei,575098.30,264.321418,32.67,8.137215615531973,0.030785305546189124
1005112,apple,559099.95,900.544583,36.43,12.471202224688607,0.013848511734025508
1005186,samsung,538901.50,720.430000,0.06,0.042426406871234654,5.889039444669802E-5
4100346,sony,534083.93,378.343846,80.85,24.38064577929355,0.06444044494724925
1005177,samsung,528312.46,883.566667,51.74,29.79733097667195,0.0337239193029358
1005177,unknown,528312.46,900.640000,0.00,"",""
1004750,samsung,526953.68,196.293735,20.11,3.1549719610842324,0.016072708388192993
1005141,apple,519804.36,1661.785684,166.98,56.2501149436675,0.03384919937947155
1005130,apple,518398.95,1437.642558,55.74,22.461031343515728,0.015623515886148196
1003306,apple,515891.72,598.666667,16.71,6.14858583752544,0.010270466315315063
1003312,apple,479471.64,708.778023,55.49,18.323512045827076,0.025852257619769732
1004238,apple,478094.87,1225.654648,190.35,37.998820614441854,0.031002877259469142
1801690,samsung,462054.79,395.482500,21.19,8.212189832322764,0.02076498917732836
1004741,xiaomi,458701.79,188.378000,35.86,6.427055949796783,0.03411786912376596
1004838,oppo,458347.07,171.143939,38.85,13.339391604237886,0.07794253002578073
1004785,huawei,453721.51,240.973409,16.51,5.492691102700286,0.022793764363852637
1005073,samsung,452868.46,1150.416742,75.64,20.198541732650828,0.017557586738120353
1004836,samsung,452752.03,242.090714,27.58,11.237393938430408,0.04641811225535238
1002532,apple,451258.73,594.620000,110.66,45.2834348706479,0.07615525019449043
1002547,apple,444678.95,462.877073,53.16,18.014139202845985,0.03891776079141856
1003304,apple,443009.09,584.558289,61.66,12.872098548219986,0.02202021387848285
4100346,sony,440908.62,389.734468,80.85,15.923283445608076,0.04085674928194464
1004665,samsung,438650.36,852.011923,88.92,16.99738085688515,0.019949698352854095
4804718,apple,434501.75,324.935000,32.03,8.296311197585316,0.02553221782074974
1005014,samsung,433070.49,522.240588,136.03,34.410564715025956,0.06589025346882069
1004246,apple,428969.58,776.847419,51.83,17.577261820837688,0.022626401775864932
1801881,samsung,427602.08,515.739722,69.75,23.459398541323143,0.045486894921239245
4804055,apple,421820.42,194.563936,18.32,5.874171864412559,0.0301914732256062
1002547,apple,416471.64,473.758438,41.20,14.066746444873266,0.02969181193744409
1005143,apple,410341.13,1496.566129,139.00,40.52664140363088,0.027079753188528084
